Date,Predicted_Revenue,Lower_Bound,Upper_Bound
2021-04-21,41604.63,12295.24,70924.8
2021-04-22,45347.75,16135.92,72773.31
2021-04-23,30824.23,2638.23,59892.75
2021-04-24,56119.53,26469.05,85691.39
2021-04-25,0.0,0.0,24989.59
2021-04-26,20757.02,0.0,48140.91
2021-04-27,30225.62,935.17,58522.81
2021-04-28,40566.84,13311.54,69888.24
2021-04-29,43472.71,16200.38,72134.93
2021-04-30,28679.74,1347.07,57198.62
2021-05-01,54168.49,26452.38,82166.24
2021-05-02,0.0,0.0,23246.45
2021-05-03,19567.72,0.0,48987.4
2021-05-04,29651.23,1369.94,57373.62
2021-05-05,40928.06,12741.0,69099.97
2021-05-06,45070.21,15285.34,73413.56
2021-05-07,31525.86,3424.2,61989.93
2021-05-08,57922.38,30028.35,89513.97
2021-05-09,0.0,0.0,28621.86
2021-05-10,23234.83,0.0,52789.53
2021-05-11,32824.05,4540.48,61846.27
2021-05-12,43736.61,16656.79,71372.5
2021-05-13,47692.48,18771.26,75328.01
2021-05-14,33904.66,5350.3,62424.25
2021-05-15,59797.04,30409.16,86481.74
2021-05-16,680.31,0.0,28125.42
2021-05-17,23464.41,0.0,51233.71
2021-05-18,32811.93,2061.0,57513.12
2021-05-19,44332.31,15860.99,71262.65
2021-05-20,49667.84,22442.39,77379.53
2021-05-21,37601.75,6027.47,65571.4
2021-05-22,65059.57,36828.01,94179.39
2021-05-23,6775.44,0.0,34961.39
2021-05-24,29568.64,1020.69,58783.23
2021-05-25,37980.03,9871.81,67210.94
2021-05-26,47792.07,19763.74,76958.98
2021-05-27,50962.31,21036.72,78297.15
2021-05-28,36694.38,8832.21,63408.73
2021-05-29,62376.4,32843.6,91372.1
2021-05-30,2847.47,0.0,31801.0
2021-05-31,25043.46,0.0,52884.28
2021-06-01,33197.42,4044.17,60339.38
2021-06-02,42920.06,15125.27,69916.41
2021-06-03,46162.35,19255.65,74328.4
2021-06-04,32270.67,3150.05,61803.83
2021-06-05,58786.23,31670.85,89525.84
2021-06-06,283.99,0.0,28289.45
2021-06-07,23482.69,0.0,50338.98
2021-06-08,32155.2,3618.55,60495.55
2021-06-09,41829.97,14179.86,69074.63
2021-06-10,44692.04,17284.47,73005.63
2021-06-11,30455.67,3301.96,59249.68
2021-06-12,56925.36,28743.23,84980.76
2021-06-13,0.0,0.0,25193.57
2021-06-14,21613.59,0.0,49559.06
2021-06-15,29937.18,2307.15,56928.09
2021-06-16,39135.85,8436.55,66779.08
2021-06-17,41836.33,12532.06,71668.84
2021-06-18,28178.64,1565.67,54635.88
2021-06-19,56149.49,26983.83,83892.31
2021-06-20,0.0,0.0,28477.88
2021-06-21,25065.05,0.0,52038.69
2021-06-22,35116.48,5644.74,62546.18
2021-06-23,45223.13,17795.98,74061.9
2021-06-24,47860.81,20336.22,76899.13
2021-06-25,33221.04,1684.16,60592.98
2021-06-26,59585.13,30495.79,90118.38
2021-06-27,1175.42,0.0,31331.95
2021-06-28,24804.38,0.0,53523.24
2021-06-29,33600.21,5558.94,62623.22
2021-06-30,43028.34,15916.75,69655.54
2021-07-01,45402.59,18577.71,72304.99
2021-07-02,30672.14,1946.49,59097.76
2021-07-03,57068.62,28591.29,84691.87
2021-07-04,0.0,0.0,29719.43
2021-07-05,22960.81,0.0,51321.87
2021-07-06,32610.0,3265.05,61352.14
2021-07-07,42938.42,13879.52,72102.1
2021-07-08,45843.06,19131.41,73867.89
2021-07-09,31006.85,1632.86,60359.66
2021-07-10,56802.82,28255.76,85442.25
2021-07-11,0.0,0.0,27190.94
2021-07-12,21206.71,0.0,48910.13
2021-07-13,30426.75,4100.48,58838.76
2021-07-14,40313.92,11890.11,69345.34
2021-07-15,42499.51,13546.03,68964.96
2021-07-16,26658.92,0.0,52582.54
2021-07-17,51568.43,23572.05,78738.3
2021-07-18,0.0,0.0,19091.23
2021-07-19,16167.73,0.0,44831.57
2021-07-20,26790.28,0.0,56750.96
2021-07-21,38491.72,8738.19,67565.98
2021-07-22,42341.64,14262.02,70153.32
2021-07-23,27546.5,1066.23,52675.13
2021-07-24,52690.18,25949.71,79617.37
2021-07-25,0.0,0.0,20959.86
2021-07-26,15199.63,0.0,44959.87
2021-07-27,24052.09,0.0,52788.71
2021-07-28,34025.48,5499.04,61698.14
2021-07-29,36590.84,5806.66,66189.24
