ProductKey,Product_Name,Category,Brand,Annual_Demand,EOQ,Daily_Demand,Safety_Stock,Final_Reorder_Point,Annual_Order_Cost,Annual_Holding_Cost,Total_Inventory_Cost,Risk_Level
39,Contoso 8GB Clock & Radio MP3 Player X850 Green,Audio,Contoso,20.82,2.0,0.057,6.0,6.0,30.12,24.78,54.9,High
40,Contoso 8GB Clock & Radio MP3 Player X850 Blue,Audio,Contoso,14.4,2.0,0.0395,6.0,6.0,20.83,24.78,45.61,Medium
41,Contoso 16GB New Generation MP5 Player M1650 Silver,Audio,Contoso,14.4,2.0,0.0395,5.0,5.0,20.83,26.67,47.5,Medium
42,Contoso 16GB New Generation MP5 Player M1650 White,Audio,Contoso,13.82,2.0,0.0379,6.0,6.0,19.99,26.67,46.66,Medium
43,Contoso 16GB New Generation MP5 Player M1650 Black,Audio,Contoso,17.32,2.0,0.0475,5.0,5.0,25.05,26.67,51.72,High
44,Contoso 16GB New Generation MP5 Player M1650 blue,Audio,Contoso,13.23,2.0,0.0362,4.0,4.0,19.14,26.67,45.81,Medium
45,Contoso 16GB New Generation MP5 Player M1650 Pink,Audio,Contoso,13.23,2.0,0.0362,5.0,5.0,19.14,26.67,45.81,Medium
46,WWI 1GB Pulse Smart pen E50 White,Audio,Wide World Importers,61.69,4.0,0.169,5.0,5.0,44.62,38.22,82.84,High
47,WWI 1GBPulse Smart pen E50 Black,Audio,Wide World Importers,60.13,4.0,0.1647,5.0,5.0,43.49,38.22,81.71,High
48,WWI 1GB Pulse Smart pen E50 Silver,Audio,Wide World Importers,69.08,5.0,0.1893,5.0,5.0,39.97,47.78,87.75,High
49,WWI 2GB Pulse Smart pen M100 White,Audio,Wide World Importers,61.88,4.0,0.1695,5.0,5.0,44.75,45.98,90.73,High
50,WWI 2GB Pulse Smart pen M100 Black,Audio,Wide World Importers,59.93,4.0,0.1642,5.0,5.0,43.34,45.98,89.32,High
51,WWI 2GB Pulse Smart pen M100 Blue,Audio,Wide World Importers,67.13,4.0,0.1839,5.0,5.0,48.55,45.98,94.53,High
52,WWI 2GB Pulse Smart pen M100 Silver,Audio,Wide World Importers,42.23,3.0,0.1157,5.0,5.0,40.72,34.48,75.2,High
53,WWI 4GB Video Recording Pen X200 Black,Audio,Wide World Importers,71.22,4.0,0.1951,5.0,5.0,51.51,49.04,100.55,Critical
54,WWI 4GB Video Recording Pen X200 Red,Audio,Wide World Importers,63.83,4.0,0.1749,5.0,5.0,46.16,49.04,95.2,High
55,WWI 4GB Video Recording Pen X200 Pink,Audio,Wide World Importers,59.16,4.0,0.1621,5.0,5.0,42.79,49.04,91.83,High
56,WWI 4GB Video Recording Pen X200 Yellow,Audio,Wide World Importers,72.0,4.0,0.1973,5.0,5.0,52.07,49.04,101.11,Critical
57,WWI 1GB Digital Voice Recorder Pen E100 Black,Audio,Wide World Importers,83.87,5.0,0.2298,5.0,5.0,48.53,49.71,98.24,High
58,WWI 1GB Digital Voice Recorder Pen E100 Red,Audio,Wide World Importers,75.5,5.0,0.2068,5.0,5.0,43.68,49.71,93.39,High
59,WWI 1GB Digital Voice Recorder Pen E100 Pink,Audio,Wide World Importers,56.24,4.0,0.1541,5.0,5.0,40.68,39.76,80.44,High
60,WWI 1GB Digital Voice Recorder Pen E100 White,Audio,Wide World Importers,69.47,4.0,0.1903,5.0,5.0,50.24,39.76,90.0,High
61,WWI 2GB Spy Video Recorder Pen M300 Black,Audio,Wide World Importers,66.16,4.0,0.1813,5.0,5.0,47.85,41.62,89.47,High
62,WWI 2GB Spy Video Recorder Pen M300 White,Audio,Wide World Importers,55.26,4.0,0.1514,4.0,4.0,39.97,41.62,81.59,High
63,WWI 2GB Spy Video Recorder Pen M300 Blue,Audio,Wide World Importers,61.1,4.0,0.1674,5.0,5.0,44.19,41.62,85.81,High
64,WWI 2GB Spy Video Recorder Pen M300 Silver,Audio,Wide World Importers,63.05,4.0,0.1727,5.0,5.0,45.6,41.62,87.22,High
65,WWI 2GB Spy Video Recorder Pen M300 Purple,Audio,Wide World Importers,68.69,4.0,0.1882,5.0,5.0,49.68,41.62,91.3,High
66,NT Bluetooth Stereo Headphones E52 Blue,Audio,Northwind Traders,59.74,10.0,0.1637,5.0,5.0,17.28,16.38,33.66,Medium
67,NT Bluetooth Stereo Headphones E52 Black,Audio,Northwind Traders,49.43,9.0,0.1354,5.0,5.0,15.89,14.74,30.63,Medium
68,NT Bluetooth Stereo Headphones E52 Yellow,Audio,Northwind Traders,39.7,8.0,0.1088,4.0,4.0,14.36,13.1,27.46,Medium
69,NT Bluetooth Stereo Headphones E52 Pink,Audio,Northwind Traders,61.1,10.0,0.1674,4.0,4.0,17.68,16.38,34.06,Medium
70,NT Wireless Bluetooth Stereo Headphones E102 Silver,Audio,Northwind Traders,54.49,8.0,0.1493,5.0,5.0,19.7,22.05,41.75,Medium
71,NT Wireless Bluetooth Stereo Headphones E102 Black,Audio,Northwind Traders,54.68,8.0,0.1498,4.0,4.0,19.77,22.05,41.82,Medium
72,NT Wireless Bluetooth Stereo Headphones E102 Blue,Audio,Northwind Traders,52.15,7.0,0.1429,5.0,5.0,21.55,19.29,40.84,Medium
73,NT Wireless Bluetooth Stereo Headphones E102 White,Audio,Northwind Traders,62.07,8.0,0.1701,5.0,5.0,22.45,22.05,44.5,Medium
74,NT Bluetooth Active Headphones E202 Black,Audio,Northwind Traders,39.5,7.0,0.1082,5.0,5.0,16.32,15.27,31.59,Medium
75,NT Bluetooth Active Headphones E202 White,Audio,Northwind Traders,58.38,9.0,0.1599,4.0,4.0,18.77,19.63,38.4,Medium
76,NT Bluetooth Active Headphones E202 Red,Audio,Northwind Traders,51.76,8.0,0.1418,5.0,5.0,18.72,17.45,36.17,Medium
77,NT Bluetooth Active Headphones E202 Silver,Audio,Northwind Traders,50.2,8.0,0.1375,5.0,5.0,18.15,17.45,35.6,Medium
78,NT Wireless Bluetooth Stereo Headphones E302 Silver,Audio,Northwind Traders,50.59,8.0,0.1386,5.0,5.0,18.29,18.65,36.94,Medium
79,NT Wireless Bluetooth Stereo Headphones E302 White,Audio,Northwind Traders,49.23,8.0,0.1349,5.0,5.0,17.8,18.65,36.45,Medium
80,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Audio,Northwind Traders,53.12,8.0,0.1455,5.0,5.0,19.21,18.65,37.86,Medium
81,NT Wireless Bluetooth Stereo Headphones E302 Black,Audio,Northwind Traders,56.24,8.0,0.1541,5.0,5.0,20.34,18.65,38.99,Medium
82,NT Wireless Bluetooth Stereo Headphones E302 Pink,Audio,Northwind Traders,55.07,8.0,0.1509,5.0,5.0,19.91,18.65,38.56,Medium
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,Northwind Traders,43.39,5.0,0.1189,5.0,5.0,25.11,28.74,53.85,High
84,NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,Northwind Traders,60.52,6.0,0.1658,5.0,5.0,29.18,34.48,63.66,High
85,NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,Northwind Traders,54.1,5.0,0.1482,5.0,5.0,31.3,28.74,60.04,High
86,NT Wireless Bluetooth Stereo Headphones M402 Black,Audio,Northwind Traders,55.85,5.0,0.153,6.0,6.0,32.31,28.74,61.05,High
87,NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,Northwind Traders,58.57,5.0,0.1605,5.0,5.0,33.89,28.74,62.63,High
88,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,Northwind Traders,48.84,5.0,0.1338,5.0,5.0,28.26,31.06,59.32,High
89,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,Northwind Traders,51.96,5.0,0.1424,4.0,4.0,30.06,31.06,61.12,High
90,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Audio,Northwind Traders,57.21,5.0,0.1567,5.0,5.0,33.1,31.06,64.16,High
91,NT Wireless Transmitter and Bluetooth Headphones M150 Green,Audio,Northwind Traders,42.81,4.0,0.1173,5.0,5.0,30.96,24.84,55.8,High
92,NT Wireless Transmitter and Bluetooth Headphones M150 Red,Audio,Northwind Traders,42.81,4.0,0.1173,5.0,5.0,30.96,24.84,55.8,High
93,WWI Stereo Bluetooth Headphones E1000 Blue,Audio,Wide World Importers,62.46,6.0,0.1711,5.0,5.0,30.12,25.77,55.89,High
94,WWI Stereo Bluetooth Headphones E1000 Black,Audio,Wide World Importers,58.96,6.0,0.1615,5.0,5.0,28.43,25.77,54.2,High
95,WWI Stereo Bluetooth Headphones E1000 Silver,Audio,Wide World Importers,53.32,6.0,0.1461,5.0,5.0,25.71,25.77,51.48,High
96,WWI Stereo Bluetooth Headphones E1000 White,Audio,Wide World Importers,50.98,6.0,0.1397,5.0,5.0,24.58,25.77,50.35,High
97,WWI Stereo Bluetooth Headphones E1000 Green,Audio,Wide World Importers,58.38,6.0,0.1599,4.0,4.0,28.15,25.77,53.92,High
98,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Audio,Wide World Importers,54.49,5.0,0.1493,5.0,5.0,31.53,34.49,66.02,High
99,WWI Wireless Bluetooth Stereo Headphones M170 Black,Audio,Wide World Importers,40.67,4.0,0.1114,5.0,5.0,29.41,27.59,57.0,High
100,WWI Wireless Bluetooth Stereo Headphones M170 White,Audio,Wide World Importers,51.37,5.0,0.1407,5.0,5.0,29.72,34.49,64.21,High
101,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Audio,Wide World Importers,48.84,5.0,0.1338,5.0,5.0,28.26,34.49,62.75,High
102,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Audio,Wide World Importers,58.18,5.0,0.1594,5.0,5.0,33.66,33.05,66.71,High
103,WWI Wireless Bluetooth Stereo Headphones M270 Black,Audio,Wide World Importers,69.86,6.0,0.1914,6.0,6.0,33.68,39.66,73.34,High
104,WWI Wireless Bluetooth Stereo Headphones M270 White,Audio,Wide World Importers,59.93,5.0,0.1642,5.0,5.0,34.68,33.05,67.73,High
105,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Audio,Wide World Importers,62.07,5.0,0.1701,5.0,5.0,35.91,33.05,68.96,High
106,WWI Stereo Bluetooth Headphones New Generation M370 Black,Audio,Wide World Importers,52.73,4.0,0.1445,5.0,5.0,38.14,30.58,68.72,High
107,WWI Stereo Bluetooth Headphones New Generation M370 White,Audio,Wide World Importers,50.2,4.0,0.1375,5.0,5.0,36.31,30.58,66.89,High
108,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Audio,Wide World Importers,48.84,4.0,0.1338,5.0,5.0,35.32,30.58,65.9,High
109,WWI Stereo Bluetooth Headphones New Generation M370 Orange,Audio,Wide World Importers,52.93,4.0,0.145,5.0,5.0,38.28,30.58,68.86,High
110,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Audio,Wide World Importers,46.12,4.0,0.1264,5.0,5.0,33.36,30.58,63.94,High
111,WWI Wireless Transmitter and Bluetooth Headphones X250 Black,Audio,Wide World Importers,51.76,4.0,0.1418,5.0,5.0,37.44,41.42,78.86,High
112,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Audio,Wide World Importers,42.81,3.0,0.1173,5.0,5.0,41.28,31.06,72.34,High
113,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Audio,Wide World Importers,56.82,4.0,0.1557,6.0,6.0,41.09,41.42,82.51,High
114,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Audio,Wide World Importers,57.6,4.0,0.1578,5.0,5.0,41.66,41.42,83.08,High
115,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,Audio,Wide World Importers,53.9,4.0,0.1477,5.0,5.0,38.98,41.42,80.4,High
116,"Adventure Works 20"" CRT TV E15 Silver",TV and Video,Adventure Works,22.18,2.0,0.0608,5.0,5.0,32.08,21.67,53.75,High
117,"Adventure Works 20"" CRT TV E15 Black",TV and Video,Adventure Works,22.38,2.0,0.0613,4.0,4.0,32.37,21.67,54.04,High
118,"Adventure Works 20"" CRT TV E15 White",TV and Video,Adventure Works,21.99,2.0,0.0602,5.0,5.0,31.81,21.67,53.48,High
119,"Adventure Works 13"" Color TV E25 Silver",TV and Video,Adventure Works,22.18,3.0,0.0608,5.0,5.0,21.39,22.94,44.33,Medium
120,"Adventure Works 13"" Color TV E25 Black",TV and Video,Adventure Works,22.57,3.0,0.0618,5.0,5.0,21.76,22.94,44.7,Medium
121,"Adventure Works 13"" Color TV E25 White",TV and Video,Adventure Works,18.68,3.0,0.0512,5.0,5.0,18.01,22.94,40.95,Medium
122,"Adventure Works 19"" Portable LCD HDTV M110 Silver",TV and Video,Adventure Works,23.35,2.0,0.064,5.0,5.0,33.78,32.19,65.97,High
123,"Adventure Works 19"" Portable LCD HDTV M110 Black",TV and Video,Adventure Works,21.6,2.0,0.0592,6.0,6.0,31.24,32.19,63.43,High
124,"Adventure Works 19"" Portable LCD HDTV M110 White",TV and Video,Adventure Works,22.77,2.0,0.0624,5.0,5.0,32.94,32.19,65.13,High
125,"Adventure Works 19"" Color Digital TV E35 Silver",TV and Video,Adventure Works,18.29,2.0,0.0501,5.0,5.0,26.46,18.28,44.74,Medium
126,"Adventure Works 19"" Color Digital TV E35 Black",TV and Video,Adventure Works,25.69,3.0,0.0704,6.0,6.0,24.77,27.42,52.19,High
127,"Adventure Works 19"" Color Digital TV E35 White",TV and Video,Adventure Works,20.82,3.0,0.057,5.0,5.0,20.08,27.42,47.5,Medium
128,"Adventure Works 19"" Color Digital TV E35 Brown",TV and Video,Adventure Works,27.05,3.0,0.0741,6.0,6.0,26.09,27.42,53.51,High
129,"Adventure Works 20"" Analog CRT TV E45 Silver",TV and Video,Adventure Works,18.49,2.0,0.0507,6.0,6.0,26.75,25.49,52.24,High
130,"Adventure Works 20"" Analog CRT TV E45 Black",TV and Video,Adventure Works,12.45,2.0,0.0341,4.0,4.0,18.01,25.49,43.5,Medium
131,"Adventure Works 20"" Analog CRT TV E45 White",TV and Video,Adventure Works,18.49,2.0,0.0507,4.0,4.0,26.75,25.49,52.24,High
132,"Adventure Works 20"" Analog CRT TV E45 Brown",TV and Video,Adventure Works,17.71,2.0,0.0485,5.0,5.0,25.62,25.49,51.11,High
133,"Adventure Works 20"" LCD HDTV M120 Silver",TV and Video,Adventure Works,22.38,2.0,0.0613,6.0,6.0,32.37,40.23,72.6,High
134,"Adventure Works 20"" LCD HDTV M120 Black",TV and Video,Adventure Works,20.24,2.0,0.0555,5.0,5.0,29.28,40.23,69.51,High
135,"Adventure Works 20"" LCD HDTV M120 White",TV and Video,Adventure Works,25.3,2.0,0.0693,5.0,5.0,36.6,40.23,76.83,High
136,"Adventure Works 20"" LCD HDTV M120 Brown",TV and Video,Adventure Works,16.15,2.0,0.0442,3.0,3.0,23.36,40.23,63.59,High
137,"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,Adventure Works,21.6,1.0,0.0592,4.0,4.0,62.49,28.74,91.23,High
138,"Adventure Works 32"" LCD HDTV M130 Black",TV and Video,Adventure Works,30.75,2.0,0.0842,6.0,6.0,44.48,57.48,101.96,Critical
139,"Adventure Works 32"" LCD HDTV M130 White",TV and Video,Adventure Works,17.12,1.0,0.0469,6.0,6.0,49.53,28.74,78.27,High
140,"Adventure Works 32"" LCD HDTV M130 Brown",TV and Video,Adventure Works,23.55,2.0,0.0645,4.0,4.0,34.06,57.48,91.54,High
141,"Adventure Works 15.6"" LCD TV M130W Silver",TV and Video,Adventure Works,20.43,2.0,0.056,5.0,5.0,29.55,38.24,67.79,High
142,"Adventure Works 15.6"" LCD TV M130W Black",TV and Video,Adventure Works,25.49,2.0,0.0698,6.0,6.0,36.87,38.24,75.11,High
143,"Adventure Works 15.6"" LCD TV M130W White",TV and Video,Adventure Works,28.99,2.0,0.0794,5.0,5.0,41.93,38.24,80.17,High
144,"Adventure Works 15.6"" LCD TV M130W Brown",TV and Video,Adventure Works,21.79,2.0,0.0597,4.0,4.0,31.52,38.24,69.76,High
145,"Adventure Works 52"" LCD HDTV X590 Silver",TV and Video,Adventure Works,23.74,1.0,0.065,6.0,6.0,68.68,120.1,188.78,Critical
146,"Adventure Works 52"" LCD HDTV X590 Black",TV and Video,Adventure Works,25.1,1.0,0.0688,5.0,5.0,72.61,120.1,192.71,Critical
147,"Adventure Works 52"" LCD HDTV X590 White",TV and Video,Adventure Works,26.46,1.0,0.0725,5.0,5.0,76.55,120.1,196.65,Critical
148,"Adventure Works 52"" LCD HDTV X590 Brown",TV and Video,Adventure Works,20.82,1.0,0.057,5.0,5.0,60.23,120.1,180.33,Critical
149,"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,Adventure Works,17.9,1.0,0.049,5.0,5.0,51.78,49.08,100.86,Critical
150,"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,Adventure Works,18.88,1.0,0.0517,4.0,4.0,54.62,49.08,103.7,Critical
151,"Adventure Works 40"" LCD HDTV M690 White",TV and Video,Adventure Works,16.35,1.0,0.0448,5.0,5.0,47.3,49.08,96.38,High
152,"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,Adventure Works,20.63,1.0,0.0565,4.0,4.0,59.68,49.08,108.76,Critical
153,"Adventure Works 26"" 720p LCD HDTV M140 Silver",TV and Video,Adventure Works,19.07,1.0,0.0522,4.0,4.0,55.17,27.02,82.19,High
154,"Adventure Works 26"" 720p LCD HDTV M140 Black",TV and Video,Adventure Works,26.08,2.0,0.0715,5.0,5.0,37.72,54.03,91.75,High
155,"Adventure Works 26"" 720p LCD HDTV M140 White",TV and Video,Adventure Works,16.35,1.0,0.0448,5.0,5.0,47.3,27.02,74.32,High
156,"Adventure Works 26"" 720p LCD HDTV M140 Brown",TV and Video,Adventure Works,22.18,2.0,0.0608,5.0,5.0,32.08,54.03,86.11,High
157,"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,Adventure Works,28.61,1.0,0.0784,4.0,4.0,82.77,63.23,146.0,Critical
158,"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,Adventure Works,22.96,1.0,0.0629,5.0,5.0,66.42,63.23,129.65,Critical
159,"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,Adventure Works,29.58,1.0,0.081,5.0,5.0,85.57,63.23,148.8,Critical
160,"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,Adventure Works,20.63,1.0,0.0565,4.0,4.0,59.68,63.23,122.91,Critical
161,"Adventure Works 52"" LCD HDTV X790W Silver",TV and Video,Adventure Works,19.85,1.0,0.0544,5.0,5.0,57.43,65.94,123.37,Critical
162,"Adventure Works 52"" LCD HDTV X790W Black",TV and Video,Adventure Works,15.37,1.0,0.0421,4.0,4.0,44.47,65.94,110.41,Critical
163,"Adventure Works 52"" LCD HDTV X790W White",TV and Video,Adventure Works,23.16,1.0,0.0635,5.0,5.0,67.0,65.94,132.94,Critical
164,"Adventure Works 52"" LCD HDTV X790W Brown",TV and Video,Adventure Works,24.32,1.0,0.0666,5.0,5.0,70.36,65.94,136.3,Critical
165,"Adventure Works 42"" LCD HDTV M55 Black",TV and Video,Adventure Works,26.08,1.0,0.0715,5.0,5.0,75.45,48.66,124.11,Critical
166,SV 16xDVD M300 Black,TV and Video,Southridge Video,23.35,3.0,0.064,5.0,5.0,22.52,20.52,43.04,Medium
167,SV 8xDVD E100 Black,TV and Video,Southridge Video,17.12,3.0,0.0469,4.0,4.0,16.51,13.19,29.7,Medium
168,SV 16xDVD M310 Black,TV and Video,Southridge Video,17.71,3.0,0.0485,6.0,6.0,17.08,22.24,39.32,Medium
169,SV 16xDVD M320 Black,TV and Video,Southridge Video,21.99,3.0,0.0602,4.0,4.0,21.21,20.52,41.73,Medium
170,SV 16xDVD M330 Black,TV and Video,Southridge Video,15.96,3.0,0.0437,5.0,5.0,15.39,18.8,34.19,Medium
171,SV 16xDVD E340 Black,TV and Video,Southridge Video,15.18,3.0,0.0416,4.0,4.0,14.64,17.07,31.71,Medium
172,SV 22xDVD X680 Black,TV and Video,Southridge Video,21.41,3.0,0.0587,5.0,5.0,20.65,21.0,41.65,Medium
173,SV 8xDVD E120 Black,TV and Video,Southridge Video,18.1,3.0,0.0496,3.0,3.0,17.45,17.19,34.64,Medium
174,SV 22xDVD M600 Black,TV and Video,Southridge Video,17.51,3.0,0.048,5.0,5.0,16.89,16.14,33.03,Medium
175,SV 16xDVD M350 Black,TV and Video,Southridge Video,25.1,3.0,0.0688,6.0,6.0,24.2,20.16,44.36,Medium
176,SV 16xDVD M360 Black,TV and Video,Southridge Video,24.32,3.0,0.0666,5.0,5.0,23.45,21.88,45.33,Medium
177,SV 8xDVD E130 Black,TV and Video,Southridge Video,20.43,4.0,0.056,5.0,5.0,14.78,14.5,29.28,Medium
178,SV 8xDVD E140 Black,TV and Video,Southridge Video,13.82,3.0,0.0379,4.0,4.0,13.33,12.62,25.95,Medium
179,SV 16xDVD M300 Silver,TV and Video,Southridge Video,20.63,3.0,0.0565,4.0,4.0,19.89,20.52,40.41,Medium
180,SV 8xDVD E100 Silver,TV and Video,Southridge Video,24.91,4.0,0.0682,5.0,5.0,18.02,17.59,35.61,Medium
181,SV 16xDVD M310 Silver,TV and Video,Southridge Video,29.38,3.0,0.0805,5.0,5.0,28.33,22.24,50.57,High
182,SV 16xDVD M320 Silver,TV and Video,Southridge Video,29.58,4.0,0.081,5.0,5.0,21.39,27.36,48.75,Medium
183,SV 16xDVD M330 Silver,TV and Video,Southridge Video,23.55,3.0,0.0645,5.0,5.0,22.71,18.8,41.51,Medium
184,SV 16xDVD E340 Silver,TV and Video,Southridge Video,26.46,4.0,0.0725,5.0,5.0,19.14,22.76,41.9,Medium
185,SV 22xDVD X680 Silver,TV and Video,Southridge Video,18.29,3.0,0.0501,3.0,3.0,17.64,21.0,38.64,Medium
186,SV 8xDVD E120 Silver,TV and Video,Southridge Video,23.35,3.0,0.064,6.0,6.0,22.52,17.19,39.71,Medium
187,SV 22xDVD M600 Silver,TV and Video,Southridge Video,26.46,4.0,0.0725,5.0,5.0,19.14,21.52,40.66,Medium
188,SV 16xDVD M350 Silver,TV and Video,Southridge Video,23.74,3.0,0.065,6.0,6.0,22.89,20.16,43.05,Medium
189,SV 16xDVD M360 Silver,TV and Video,Southridge Video,24.32,3.0,0.0666,5.0,5.0,23.45,21.88,45.33,Medium
